,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
family,-0.51008195,-0.14501552,-0.009556714,-0.07878793,-0.019205697,-0.010803416,0.34900755,0.20999144,-0.08803841,0.1168677,-0.24104448,0.059067212,0.0068749115,0.05368349,0.33630732,0.28091368,-0.056268312,-0.09897854,-0.58713865,0.1344185,-0.22021572,-0.23475352,-0.07915711,0.016536541,-0.47232056,0.25574324,0.015703615,-0.40388986,-0.35968795,-0.07564171,-0.43935162,0.28035665,0.4693581,0.08396195,-0.110305205,-0.29629505,-0.07161218,0.038979303,0.45310584,-0.14891483
family#Brother,-0.6315106,-0.24089763,-0.25070003,-0.36237118,-0.040183313,0.015461617,0.14132454,0.32597864,-0.33581722,0.45222017,-0.08968249,0.118891805,0.13479786,-0.107817404,0.38114095,0.16575028,-0.15422574,-0.064343765,-0.3669071,0.4195458,0.24412756,0.2376717,-0.2758258,0.11305482,-0.24102896,0.5634236,0.15395299,-0.28798288,-0.09440641,0.016992316,-0.30725303,0.31075442,0.059857506,0.32862335,-0.105266415,-0.23440906,-0.47625288,0.08818889,0.43863514,-0.34293595
family#Child,-0.54244184,-0.2964094,0.08252669,-0.27464402,-0.0060115093,0.07839827,0.18003654,0.44466674,0.04387635,0.31379175,0.12295506,0.17031197,0.07869031,0.055264864,0.28678316,0.26775736,-0.034782913,0.017223345,-0.43741342,0.31117162,-0.32929745,-0.06499071,0.05786763,-0.12546398,-0.6470509,-0.032654032,0.1542353,-0.3402684,-0.44173893,-0.0021460585,0.021881416,0.18114269,0.13298517,0.0139136575,-0.07751306,-0.27380955,-0.15021804,0.10670583,0.41618732,-0.5467671
family#Daughter,-0.5079774,-0.48008654,0.3550153,-0.25287908,-0.054749288,0.08334452,0.2682329,0.03424997,-0.2657793,0.3770006,-0.1535022,0.17250262,0.07522917,0.018969266,0.5976024,0.17016973,-0.062577836,-0.178195,-0.74178696,0.62582827,0.17299561,-0.7505497,0.490225,-0.08149294,-0.19435847,0.204999,0.20083968,0.15738001,-0.112482935,-0.15319428,-0.4346622,0.15833762,0.05346514,-0.056370817,-0.07079465,-0.387119,0.017064841,0.11430017,0.38566595,-0.4246185
family#F10F172,-0.3465031,-0.025177546,0.056965273,-0.3813693,0.040770136,0.5995104,-0.13652399,0.23572125,-0.04018331,0.54522943,-0.35018352,-0.29470965,-0.2920617,-0.286822,0.25500637,0.13358133,-0.21580565,-0.35534215,-0.035607193,0.18796667,-0.256665,-0.031201402,-0.06376587,-0.11290716,-0.36658534,0.31781048,0.18851349,-0.04583913,-0.16713436,-0.51044095,-0.2727436,0.30980918,0.31031805,-0.10274772,-0.29861453,-0.49771836,-0.021591386,0.238793,0.062245626,0.19800079
family#F10F174,-0.32568613,0.023584094,0.009641268,-0.36141238,-0.011634642,0.5315404,-0.15129872,0.2619874,-0.0644101,0.34662786,-0.41387647,-0.13567151,-0.20886669,-0.2998431,0.3961326,0.1799422,-0.3242995,-0.08403927,-0.16670439,0.17159326,-0.22290464,-0.087994084,-0.045652494,-0.21119705,-0.36477464,0.3036869,0.1080074,-0.07140589,-0.25141534,0.038384303,-0.1627996,-0.007652331,0.39944518,0.28285944,-0.1665266,-0.31836972,-0.1170042,-0.29281405,0.27578494,-0.28571752
family#F10F175,-0.123563126,0.35251096,0.13516822,-0.22722557,-0.06671314,0.22023435,0.08472128,0.17336889,-0.23336262,0.15431991,-0.31333527,0.23820657,-0.16416426,-0.03838695,0.3711118,0.27048445,-0.13393453,0.3502767,-0.14682505,0.19964364,-0.4108026,-0.20234016,-0.042127464,-0.11313506,-0.33521676,0.55233485,0.058172107,-0.26163292,-0.22276075,0.012881009,-0.008507899,-0.06225194,0.23908794,0.39371264,-0.19406962,-0.26632363,0.009772638,-0.011144002,0.4392806,-0.43283212
family#F10F177,-0.18081972,0.39644176,0.12422373,-0.27249756,-0.061984014,0.11460653,0.06244498,0.1435036,0.009176496,0.14900275,0.045583475,0.27114782,-0.14868613,0.034157667,0.3038584,0.26094294,-0.15333371,0.3487036,-0.20404193,0.1270098,-0.32082468,-0.22624743,-0.09117047,-0.12514193,-0.3358653,0.54268986,0.010637252,-0.3109231,-0.533015,0.0020851789,-0.25016588,-0.061209373,0.2595777,0.3976708,-0.043476943,-0.28709146,0.038069602,-0.02009205,0.33594593,-0.43889114
family#F10F179,-0.26993132,0.27791357,0.080678426,-0.13285682,-0.066721864,0.27146664,0.19460139,0.31113964,-0.14374177,0.78471214,0.19306822,0.15804748,-0.25518277,0.016421596,0.33005688,0.32652998,-0.36488527,-0.1897951,-0.30477756,0.098396674,-0.34285817,-0.023790468,-0.08540748,0.03893836,-0.37533528,0.58391094,-0.13083823,-0.2569569,-0.28252757,-0.09589648,-0.19289933,-0.20168293,0.19913813,-0.042926382,-0.27265716,-0.320316,-0.037949353,-0.3497046,0.04233443,-0.25191164
family#F10F181,-0.18413472,0.29444638,0.07109207,-0.18245408,-0.012341056,-0.15472229,0.15675691,0.3848738,-0.073106945,0.7116725,0.04652691,0.049281888,-0.2558101,-0.1764821,0.3909347,0.17222366,-0.17989567,-0.24232168,0.082116246,0.10954087,-0.40709215,-0.38141558,-0.099127516,0.06832069,-0.29914582,0.50606996,-0.20500374,-0.2710213,-0.34417722,-0.22750033,-0.20158556,-0.1763893,0.22837418,-0.21696848,0.30752334,-0.4242251,0.01869674,-0.25156975,0.19541661,-0.27495095
family#F10F185,-0.4477991,0.14774683,-0.02133509,-0.3656406,0.010177428,0.074035086,0.13505895,0.24766237,-0.10838734,0.23500691,-0.2932792,0.15534565,-0.2930539,-0.12147468,0.18961212,0.14988196,-0.26628175,0.043132227,-0.11529037,0.2207639,-0.2130024,-0.051057745,-0.0031846443,-0.16517025,-0.23784745,0.13148968,0.035621814,-0.03743296,-0.32672164,-0.1383658,-0.14293425,0.06278365,0.38936043,-0.057189062,-0.027422616,-0.36648953,-0.12244649,-0.06859551,0.35679066,-0.31420016
family#F10F186,-0.26779342,0.07017888,0.1589532,-0.21784598,-0.14108728,-0.006242583,-0.08442132,0.46072704,0.037739396,0.64317834,-0.15550704,0.27735284,-0.23068762,-0.30772376,0.25229052,0.20570992,-0.25836912,0.11897821,0.056928873,-0.010593977,-0.4052549,-0.19499956,-0.09103903,0.06967327,-0.3338694,0.49366835,-0.11684433,-0.29803827,-0.27052024,-0.44357136,-0.096529074,-0.18273984,0.24001618,-0.2940516,-0.2488581,-0.3433975,-0.075264834,-0.40539116,0.07944351,-0.16289043
family#F10F189,-0.2998443,0.017657444,-0.003964042,-0.35617086,-0.022572782,0.4886313,0.060605776,0.3576853,-0.06787491,0.3262991,-0.43029758,0.30411318,-0.2545831,-0.24908882,-0.08556756,0.28878903,-0.25450945,0.07088517,-0.045911137,0.14381532,-0.20319752,-0.080741,0.012014328,-0.13305171,-0.34162828,0.25603974,0.08722048,0.021420524,-0.17263845,-0.16082191,-0.21386346,0.24293597,0.17353313,-0.14415757,-0.05116009,-0.26490358,-0.11551773,0.35669723,0.3571274,0.046573676
family#F10F191,-0.30467433,0.12768053,-0.033710774,-0.3848557,0.03028591,0.15870878,0.18159486,0.16962664,-0.117657684,0.16291463,-0.55405384,0.14784504,-0.24571575,-0.092048325,-0.08731516,0.2754609,-0.32536498,-0.054050237,-0.2200209,0.19056772,-0.22563452,-0.056325972,-0.01052886,-0.20039383,-0.36933598,0.15151452,0.1858231,-0.060187925,-0.39152402,-0.18590686,-0.14040987,0.31402716,0.27306125,0.0070770355,0.017064627,-0.2904573,-0.039778028,-0.0030491294,0.36672333,0.055263124
